add { Андрей Кузнецов ; 4 ; 46000 ; 7900 ; 2021-11-14 ; ; HIRED ; 538000 ; COMMERCIAL ; Победы }
add { Дмитрий Макаров ; 5 ; 42000 ; 6300 ; 2023-04-22 ; ; PROBATION ; 157000 ; GOVERNMENT ; Советская }
add { Анна Сидорова ; 9 ; 67000 ; 3800 ; 2020-08-03 ; 2029-10-04 ; RECOMMENDED_FOR_PROMOTION ; 843000 ; TRUST ; Молодежная }
add { Сергей Иванов ; 1 ; 34000 ; 9500 ; 2024-10-12 ; ; HIRED ; 476000 ; OPEN_JOINT_STOCK_COMPANY ; Гагарина }
add { Елена Смирнова ; 6 ; 87000 ; 5200 ; 2022-03-26 ; 2027-06-21 ; FIRED ; 705000 ; PUBLIC ; Октябрьская }
add { Андрей Кузнецов ; 4 ; 46000 ; 7900 ; 2021-11-14 ; ; HIRED ; 538000 ; COMMERCIAL ; Победы }
add { Татьяна Попова ; 8 ; 55000 ; 6400 ; 2023-07-07 ; 2028-09-30 ; PROBATION ; 629000 ; GOVERNMENT ; Комсомольская }
add { Владимир Васильев ; 3 ; 98000 ; 4100 ; 2020-04-18 ; ; RECOMMENDED_FOR_PROMOTION ; 411000 ; TRUST ; Кирова }
add { Ольга Петрова ; 7 ; 25000 ; 8800 ; 2024-05-24 ; 2030-07-09 ; HIRED ; 759000 ; OPEN_JOINT_STOCK_COMPANY ; Садовая }
add { Иван Морозов ; 2 ; 66000 ; 4900 ; 2022-10-09 ; ; FIRED ; 523000 ; PUBLIC ; Лесная }
add { Наталья Волкова ; 5 ; 36000 ; 6600 ; 2021-12-22 ; 2027-04-15 ; HIRED ; 647000 ; COMMERCIAL ; Центральная }
add { Михаил Алексеев ; 9 ; 72000 ; 7700 ; 2023-02-04 ; ; PROBATION ; 295000 ; GOVERNMENT ; Заречная }
add { Ирина Лебедева ; 0 ; 30000 ; 5600 ; 2020-06-17 ; 2029-01-08 ; RECOMMENDED_FOR_PROMOTION ; 884000 ; TRUST ; Школьная }
add { Петр Семенов ; 6 ; 56000 ; 4300 ; 2024-01-29 ; ; HIRED ; 413000 ; OPEN_JOINT_STOCK_COMPANY ; Юбилейная }
add { Светлана Егорова ; 4 ; 80000 ; 9800 ; 2022-09-13 ; 2028-07-25 ; FIRED ; 726000 ; PUBLIC ; Строителей }
add { Павел Павлов ; 8 ; 43000 ; 3500 ; 2021-05-06 ; ; HIRED ; 562000 ; COMMERCIAL ; Солнечная }
add { Юлия Козлова ; 2 ; 77000 ; 8100 ; 2023-12-20 ; 2027-10-07 ; PROBATION ; 438000 ; GOVERNMENT ; Набережная }
add { Николай Степанов ; 5 ; 23000 ; 9300 ; 2020-03-12 ; ; RECOMMENDED_FOR_PROMOTION ; 681000 ; TRUST ; Парковая }
add { Екатерина Николаева ; 7 ; 88000 ; 5000 ; 2024-08-02 ; 2030-11-14 ; HIRED ; 375000 ; OPEN_JOINT_STOCK_COMPANY ; Дзержинского }
add { Артем Дмитриев ; 1 ; 49000 ; 7400 ; 2022-05-21 ; ; FIRED ; 836000 ; PUBLIC ; Ленина }
add { Ксения Андреева ; 6 ; 61000 ; 4600 ; 2021-07-08 ; 2028-03-17 ; HIRED ; 743000 ; COMMERCIAL ; Пушкина }
add { Максим Макаров ; 3 ; 32000 ; 8200 ; 2023-10-31 ; ; PROBATION ; 284000 ; GOVERNMENT ; Советская }
add { Виктория Сидорова ; 9 ; 85000 ; 6900 ; 2020-01-15 ; 2029-05-29 ; RECOMMENDED_FOR_PROMOTION ; 417000 ; TRUST ; Молодежная }
add { Роман Иванов ; 4 ; 70000 ; 5700 ; 2024-12-06 ; ; HIRED ; 629000 ; OPEN_JOINT_STOCK_COMPANY ; Гагарина }
add { Анастасия Смирнова ; 8 ; 37000 ; 6300 ; 2022-11-11 ; 2027-08-19 ; FIRED ; 758000 ; PUBLIC ; Октябрьская }
add { Евгений Кузнецов ; 2 ; 90000 ; 7800 ; 2021-03-28 ; ; HIRED ; 551000 ; COMMERCIAL ; Победы }
add { Людмила Попова ; 5 ; 24000 ; 8900 ; 2023-06-04 ; 2028-11-02 ; PROBATION ; 472000 ; GOVERNMENT ; Комсомольская }
add { Станислав Васильев ; 7 ; 65000 ; 3900 ; 2020-09-19 ; ; RECOMMENDED_FOR_PROMOTION ; 693000 ; TRUST ; Кирова }
add { Валентина Петрова ; 0 ; 11000 ; 6500 ; 2024-03-10 ; 2030-01-27 ; HIRED ; 326000 ; OPEN_JOINT_STOCK_COMPANY ; Садовая }
add { Алексей Морозов ; 6 ; 75000 ; 5100 ; 2022-07-25 ; ; FIRED ; 417000 ; PUBLIC ; Лесная }
add { Мария Волкова ; 4 ; 52000 ; 7000 ; 2021-10-10 ; 2027-12-12 ; HIRED ; 539000 ; COMMERCIAL ; Центральная }
add { Дмитрий Алексеев ; 8 ; 41000 ; 8700 ; 2023-01-15 ; ; PROBATION ; 861000 ; GOVERNMENT ; Заречная }
add { Анна Лебедева ; 2 ; 69000 ; 4200 ; 2020-05-30 ; 2029-04-23 ; RECOMMENDED_FOR_PROMOTION ; 748000 ; TRUST ; Школьная }
add { Сергей Семенов ; 5 ; 84000 ; 9600 ; 2024-10-19 ; ; HIRED ; 295000 ; OPEN_JOINT_STOCK_COMPANY ; Юбилейная }
add { Елена Егорова ; 3 ; 28000 ; 7600 ; 2022-02-27 ; 2028-06-08 ; FIRED ; 514000 ; PUBLIC ; Строителей }
add { Андрей Павлов ; 9 ; 94000 ; 5400 ; 2021-08-14 ; ; HIRED ; 637000 ; COMMERCIAL ; Солнечная }
add { Татьяна Козлова ; 1 ; 48000 ; 8000 ; 2023-04-09 ; 2027-09-16 ; PROBATION ; 472000 ; GOVERNMENT ; Набережная }
add { Владимир Степанов ; 6 ; 58000 ; 9100 ; 2020-12-01 ; ; RECOMMENDED_FOR_PROMOTION ; 685000 ; TRUST ; Парковая }
add { Ольга Николаева ; 4 ; 12000 ; 3700 ; 2024-07-15 ; 2030-02-28 ; HIRED ; 423000 ; OPEN_JOINT_STOCK_COMPANY ; Дзержинского }
add { Иван Дмитриев ; 8 ; 68000 ; 6800 ; 2022-04-23 ; ; FIRED ; 527000 ; PUBLIC ; Ленина }
add { Наталья Андреева ; 2 ; 39000 ; 8400 ; 2021-11-05 ; 2028-10-07 ; HIRED ; 764000 ; COMMERCIAL ; Пушкина }
add { Михаил Макаров ; 5 ; 76000 ; 5900 ; 2023-08-12 ; ; PROBATION ; 358000 ; GOVERNMENT ; Советская }
add { Ирина Сидорова ; 0 ; 27000 ; 7300 ; 2020-02-17 ; 2029-07-31 ; RECOMMENDED_FOR_PROMOTION ; 489000 ; TRUST ; Молодежная }
add { Петр Иванов ; 7 ; 83000 ; 4700 ; 2024-11-28 ; ; HIRED ; 642000 ; OPEN_JOINT_STOCK_COMPANY ; Гагарина }
add { Светлана Смирнова ; 4 ; 50000 ; 9500 ; 2022-09-16 ; 2027-05-05 ; FIRED ; 876000 ; PUBLIC ; Октябрьская }
add { Павел Кузнецов ; 6 ; 71000 ; 6200 ; 2021-04-12 ; ; HIRED ; 734000 ; COMMERCIAL ; Победы }
add { Юлия Попова ; 3 ; 33000 ; 8600 ; 2023-12-25 ; 2028-08-20 ; PROBATION ; 451000 ; GOVERNMENT ; Комсомольская }
add { Николай Васильев ; 9 ; 62000 ; 4100 ; 2020-07-07 ; ; RECOMMENDED_FOR_PROMOTION ; 569000 ; TRUST ; Кирова }
add { Екатерина Петрова ; 1 ; 42000 ; 5500 ; 2024-05-16 ; 2030-04-11 ; HIRED ; 682000 ; OPEN_JOINT_STOCK_COMPANY ; Садовая }
add { Георгий Тихомиров ; 4 ; 53000 ; 7200 ; 2023-08-25 ; 2029-11-14 ; FIRED ; 345000 ; PUBLIC ; Мира }
add { Алина Крылова ; 7 ; 34000 ; 6100 ; 2021-02-18 ; ; HIRED ; 678000 ; COMMERCIAL ; Лермонтова }
add { Борис Беляев ; 2 ; 92000 ; 8800 ; 2024-07-30 ; 2028-03-27 ; PROBATION ; 891000 ; GOVERNMENT ; Гоголя }
add { Вера Тарасова ; 9 ; 16000 ; 4400 ; 2020-09-14 ; ; RECOMMENDED_FOR_PROMOTION ; 234000 ; TRUST ; Толстого }
add { Глеб Зайцев ; 5 ; 57000 ; 9800 ; 2022-12-09 ; 2027-10-02 ; HIRED ; 567000 ; OPEN_JOINT_STOCK_COMPANY ; Чехова }
add { Дарья Соловьева ; 3 ; 86000 ; 6700 ; 2023-05-17 ; ; FIRED ; 789000 ; PUBLIC ; Мира }
add { Егор Тихомиров ; 8 ; 29000 ; 5300 ; 2021-11-29 ; 2029-08-24 ; HIRED ; 456000 ; COMMERCIAL ; Лермонтова }
add { Жанна Крылова ; 1 ; 74000 ; 9100 ; 2024-03-06 ; ; PROBATION ; 923000 ; GOVERNMENT ; Гоголя }
add { Захар Беляев ; 6 ; 48000 ; 3800 ; 2020-10-19 ; 2028-07-13 ; RECOMMENDED_FOR_PROMOTION ; 188000 ; TRUST ; Толстого }
add { Алина Зайцева ; 4 ; 67000 ; 7000 ; 2022-06-08 ; ; HIRED ; 645000 ; OPEN_JOINT_STOCK_COMPANY ; Чехова }
